Time (Years),Nominal Cash Flow,Real Cash Flow,Real Net Cash,Discount Rate
0.0,-950.0,-950.0,-950.0,0.02
0.5,4.80494717063078,4.760154618621484,-945.2398453813785,0.00940989434126156
1.0,0.47911069510816046,0.474284729173548,-944.765560652205,0.000758221390216321
1.5,15.454731871764032,14.843232395495393,-929.9223282567095,0.030709463743528065
2.0,19.365670018916312,17.909354493630516,-912.012973763079,0.03853134003783262
2.5,19.736220892822896,17.56232425685981,-894.4506495062192,0.03927244178564579
3.0,24.80823693503669,21.03613831280512,-873.414511193414,0.04941647387007338
3.5,29.072864405956118,23.30207253570212,-850.1124386577119,0.057945728811912234
4.0,18.931398102141458,14.622888523818949,-835.489550133893,0.037662796204282915
4.5,21.29450337136035,15.779316030367307,-819.7102341035256,0.0423890067427207
5.0,28.48027552798863,19.970468448136387,-799.7397656553892,0.056760551055977264
5.5,25.82102528577942,17.219962718360126,-782.5198029370291,0.051442050571558845
6.0,40.994423914563306,25.272081394743456,-757.2477215422856,0.08178884782912661
6.5,36.081971841287555,20.75039218612401,-736.4973293561616,0.07196394368257511
7.0,34.62911702316811,18.628423440020473,-717.8689059161411,0.06905823404633621
7.5,54.843069827357,26.590993167601418,-691.2779127485397,0.10948613965471399
8.0,53.921311324452866,23.60334684102811,-667.6745659075116,0.10764262264890573
8.5,64.9674358878407,25.172846927627845,-642.5017189798838,0.12973487177568138
9.0,55.84671971709093,19.468270582888632,-623.0334483969951,0.11149343943418184
9.5,46.18756856864193,14.742207492107907,-608.2912409048872,0.09217513713728386
10.0,1046.1875685686418,304.14644796964046,-304.14479293524676,0.09790364094971696
